0.4,0.05,0.25
0.4,0.05,0.3
0.4,0.05,0.35
0.4,0.05,0.4
0.4,0.05,0.45
0.4,0.05,0.5
0.4,0.05,0.55
0.4,0.1,0.9
0.4,0.1,0.95
0.4,0.1,1.0
0.45,0.25,0.25
0.45,0.25,0.3
0.45,0.25,0.35
0.45,0.25,0.4
0.45,0.25,0.45
0.45,0.25,0.5
0.45,0.3,0.9
0.45,0.3,0.95
0.45,0.3,1.0
0.5,0.4,0.4
0.5,0.4,0.45
0.5,0.4,0.5
0.5,0.4,0.55
0.55,0.5,0.4
0.55,0.5,0.45
0.55,0.5,0.5
0.55,0.5,0.55
0.6,0.55,0.15
0.6,0.55,0.2
0.6,0.55,0.25
0.6,0.6,0.8
0.6,0.6,0.85
0.6,0.6,0.9
0.65,0.6,0.15
0.65,0.6,0.2
0.65,0.6,0.25
0.65,0.65,0.75
0.65,0.65,0.8
0.65,0.65,0.85
0.7,0.65,0.3
0.7,0.65,0.35
0.7,0.65,0.4
0.7,0.7,0.95
0.7,0.7,1.0
0.75,0.65,0.0
0.75,0.65,0.05
0.75,0.7,0.65
0.75,0.7,0.7
0.8,0.7,0.4
0.8,0.7,0.45
0.85,0.7,0.25
0.85,0.7,0.3
0.85,0.75,0.9
0.85,0.75,0.95
0.9,0.7,0.15
0.9,0.7,0.2
0.9,0.75,0.8
0.9,0.75,0.85
0.95,0.7,0.1
0.95,0.7,0.15
0.95,0.75,0.75
0.95,0.75,0.8
1.0,0.7,0.05
1.0,0.7,0.1
1.0,0.75,0.7
1.0,0.75,0.75
1.05,0.7,0.05
1.05,0.7,0.1
1.05,0.75,0.7
1.1,0.7,0.05
1.1,0.7,0.1
1.1,0.75,0.65
1.1,0.75,0.7
1.15,0.7,0.05
1.15,0.7,0.1
1.15,0.75,0.65
1.15,0.75,0.7
1.2,0.7,0.05
1.2,0.7,0.1
1.2,0.75,0.65
1.2,0.75,0.7
